"Happiness","Visits"
13.8,"1_once"
18.9,"3_three"
17.2,"3_three"
11.6,"1_once"
17.9,"3_three"
13.2,"1_once"
20.8,"4_many"
12.1,"0_zero"
16.9,"3_three"
14.6,"2_twice"
19.9,"4_many"
14.3,"1_once"
18,"2_twice"
12.5,"0_zero"
19.5,"3_three"
15.1,"1_once"
13.1,"0_zero"
16,"2_twice"
20.3,"4_many"
14.4,"1_once"
15.7,"1_once"
19.8,"4_many"
13.7,"1_once"
21.4,"4_many"
13.5,"0_zero"
11.9,"0_zero"
15,"2_twice"
12.6,"0_zero"
21.6,"4_many"
13.5,"1_once"
15.2,"2_twice"
19.7,"4_many"
15.6,"2_twice"
13.1,"0_zero"
16.9,"3_three"
20.8,"4_many"
21.2,"4_many"
14.1,"1_once"
14,"2_twice"
19.5,"4_many"
10.8,"0_zero"
14.1,"2_twice"
18.8,"3_three"
13.8,"2_twice"
14,"1_once"
19.1,"3_three"
11.4,"0_zero"
18.9,"3_three"
14.9,"1_once"
16.4,"2_twice"
13.2,"1_once"
14.3,"1_once"
16.8,"3_three"
15.1,"2_twice"
13.1,"1_once"
18.7,"4_many"
14,"1_once"
19.8,"4_many"
19.2,"4_many"
13.3,"0_zero"
14.7,"1_once"
14.1,"2_twice"
17.1,"3_three"
12.6,"0_zero"
17.3,"2_twice"
14.7,"1_once"
16.8,"2_twice"
15.8,"2_twice"
15.1,"2_twice"
12.4,"1_once"
14.1,"1_once"
19.8,"4_many"
18.2,"4_many"
18.7,"3_three"
18.4,"3_three"
12.9,"1_once"
16.2,"3_three"
18.9,"3_three"
17.7,"3_three"
20.8,"4_many"
12.2,"0_zero"
15.5,"1_once"
11.2,"0_zero"
14.7,"1_once"
13.1,"1_once"
15.3,"1_once"
18.2,"4_many"
14.4,"0_zero"
19,"3_three"
16.2,"3_three"
20.3,"4_many"
22.9,"4_many"
12.8,"1_once"
18.9,"3_three"
17.6,"2_twice"
16.6,"2_twice"
12.4,"0_zero"
21.1,"4_many"
21.5,"4_many"
19.5,"4_many"
